Name,Grade,Percent,Gender,Category
Taylor Moore,11,Female,85.0,Same Grade
Reese Miller,11,Non-Binary,70.0,Same Grade
Alex Jones,11,Male,65.0,Same Grade
Morgan Williams,11,Non-Binary,65.0,Same Grade
Riley Moore,11,Non-Binary,60.0,Same Grade
Jordan Miller,11,Female,55.00000000000001,Same Grade
Taylor Miller,11,Female,55.00000000000001,Same Grade
Avery Wilson,11,Male,50.0,Same Grade
Morgan Moore,11,Male,50.0,Same Grade
Avery Smith,11,Non-Binary,45.0,Same Grade
Jamie Davis,9,Male,85.0,Different Grade
Avery Taylor,12,Non-Binary,85.0,Different Grade
Morgan Miller,10,Female,85.0,Different Grade
Alex Davis,9,Non-Binary,80.0,Different Grade
Jordan Brown,10,Female,80.0,Different Grade
Avery Taylor,12,Non-Binary,85.0,Same Gender
Alex Davis,9,Non-Binary,80.0,Same Gender
Casey Smith,12,Non-Binary,80.0,Same Gender
Taylor Williams,10,Non-Binary,70.0,Same Gender
Reese Miller,11,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Quinn Johnson,9,Male,40.0,Most Opposite
Avery Smith,11,Non-Binary,45.0,Most Opposite
