Name,Grade,Percent,Gender,Category
Jordan Miller,11,Female,75.0,Same Grade
Taylor Miller,11,Female,75.0,Same Grade
Avery Smith,11,Non-Binary,75.0,Same Grade
Avery Wilson,11,Male,70.0,Same Grade
Morgan Moore,11,Male,70.0,Same Grade
Reese Williams,11,Non-Binary,70.0,Same Grade
Taylor Moore,11,Female,65.0,Same Grade
Morgan Williams,11,Non-Binary,65.0,Same Grade
Reese Miller,11,Non-Binary,60.0,Same Grade
Alex Jones,11,Male,55.00000000000001,Same Grade
Casey Johnson,10,Non-Binary,80.0,Different Grade
Casey Williams,9,Non-Binary,75.0,Different Grade
Quinn Williams,10,Male,75.0,Different Grade
Taylor Johnson,12,Non-Binary,75.0,Different Grade
Reese Taylor,9,Male,75.0,Different Grade
Casey Johnson,10,Non-Binary,80.0,Same Gender
Casey Williams,9,Non-Binary,75.0,Same Gender
Avery Smith,11,Non-Binary,75.0,Same Gender
Taylor Johnson,12,Non-Binary,75.0,Same Gender
Alex Davis,9,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Avery Jones,9,Female,45.0,Most Opposite
Morgan Moore,10,Male,50.0,Most Opposite
