Name,Grade,Percent,Gender,Category
Alex Williams,10,Female,75.0,Same Grade
Casey Johnson,10,Non-Binary,75.0,Same Grade
Jordan Smith,10,Male,70.0,Same Grade
Jordan Brown,10,Female,65.0,Same Grade
Jordan Davis,10,Male,65.0,Same Grade
Casey Brown,10,Female,60.0,Same Grade
Taylor Taylor,10,Female,60.0,Same Grade
Quinn Davis,10,Female,60.0,Same Grade
Quinn Williams,10,Male,60.0,Same Grade
Morgan Miller,10,Female,60.0,Same Grade
Quinn Jones,9,Non-Binary,85.0,Different Grade
Jordan Miller,11,Female,80.0,Different Grade
Reese Williams,11,Non-Binary,75.0,Different Grade
Quinn Smith,9,Non-Binary,75.0,Different Grade
Riley Moore,11,Non-Binary,75.0,Different Grade
Jordan Miller,11,Female,80.0,Same Gender
Alex Williams,10,Female,75.0,Same Gender
Jamie Jones,12,Female,75.0,Same Gender
Jordan Brown,10,Female,65.0,Same Gender
Jordan Davis,9,Female,65.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Reese Miller,11,Non-Binary,45.0,Most Opposite
Jordan Taylor,12,Male,45.0,Most Opposite
