Name,Grade,Percent,Category
Liam Jones,11,93.33,Same Grade
Ava Jones,11,86.67,Same Grade
Sophia Smith,11,80.0,Same Grade
Oliver Jones,11,80.0,Same Grade
Sophia Brown,11,80.0,Same Grade
James Johnson,11,80.0,Same Grade
James Johnson,11,80.0,Same Grade
Oliver Jones,11,80.0,Same Grade
Noah Williams,11,73.33,Same Grade
Oliver Brown,11,73.33,Same Grade
Isabella Jones,11,73.33,Same Grade
William Brown,11,73.33,Same Grade
Isabella Brown,11,73.33,Same Grade
Sophia Williams,11,73.33,Same Grade
Isabella Williams,11,73.33,Same Grade
Isabella Smith,12,100.0,Different Grade
Olivia Jones,12,93.33,Different Grade
Ava Smith,10,93.33,Different Grade
James Jones,9,93.33,Different Grade
Emma Brown,9,86.67,Different Grade
Isabella Williams,9,86.67,Different Grade
Isabella Smith,9,86.67,Different Grade
Isabella Johnson,12,86.67,Different Grade
Noah Smith,10,86.67,Different Grade
Ava Williams,10,86.67,Different Grade
