Name,Grade,Percent,Category
Ava Johnson,10,93.33,Same Grade
William Smith,10,86.67,Same Grade
Oliver Smith,10,73.33,Same Grade
James Brown,10,73.33,Same Grade
Olivia Johnson,10,73.33,Same Grade
Oliver Williams,10,73.33,Same Grade
Emma Smith,10,73.33,Same Grade
William Smith,10,73.33,Same Grade
Oliver Brown,10,66.67,Same Grade
William Smith,10,66.67,Same Grade
Emma Williams,10,66.67,Same Grade
Noah Brown,10,66.67,Same Grade
Olivia Smith,10,66.67,Same Grade
Sophia Jones,10,66.67,Same Grade
Liam Williams,10,66.67,Same Grade
William Brown,12,86.67,Different Grade
Noah Johnson,11,86.67,Different Grade
Liam Brown,9,86.67,Different Grade
James Smith,9,86.67,Different Grade
Noah Brown,12,86.67,Different Grade
Liam Jones,12,86.67,Different Grade
James Smith,9,86.67,Different Grade
Liam Brown,11,86.67,Different Grade
William Johnson,12,86.67,Different Grade
Oliver Jones,11,86.67,Different Grade
