Name,Grade,Percent,Category
James Johnson,12,86.67,Same Grade
Oliver Johnson,12,80.0,Same Grade
Ava Johnson,12,73.33,Same Grade
Noah Jones,12,73.33,Same Grade
Sophia Jones,12,73.33,Same Grade
Liam Jones,12,73.33,Same Grade
Oliver Jones,12,73.33,Same Grade
Ava Smith,12,73.33,Same Grade
William Jones,12,73.33,Same Grade
William Smith,12,66.67,Same Grade
Olivia Williams,12,66.67,Same Grade
Sophia Jones,12,66.67,Same Grade
Sophia Johnson,12,66.67,Same Grade
Sophia Jones,12,66.67,Same Grade
Sophia Williams,12,66.67,Same Grade
William Williams,10,93.33,Different Grade
Emma Brown,11,93.33,Different Grade
Oliver Smith,9,86.67,Different Grade
Oliver Jones,10,80.0,Different Grade
William Smith,9,80.0,Different Grade
Oliver Jones,11,80.0,Different Grade
Oliver Johnson,9,80.0,Different Grade
Emma Jones,11,80.0,Different Grade
Olivia Williams,9,80.0,Different Grade
Sophia Brown,9,80.0,Different Grade
