Name,Grade,Percent,Category
William Johnson,11,100.0,Same Grade
James Williams,11,93.33,Same Grade
Emma Jones,11,93.33,Same Grade
Liam Smith,11,86.67,Same Grade
Sophia Johnson,11,80.0,Same Grade
Oliver Brown,11,80.0,Same Grade
Liam Brown,11,80.0,Same Grade
Isabella Brown,11,80.0,Same Grade
Olivia Jones,11,80.0,Same Grade
William Brown,11,80.0,Same Grade
William Smith,11,73.33,Same Grade
Emma Smith,11,73.33,Same Grade
William Williams,11,73.33,Same Grade
Sophia Jones,11,66.67,Same Grade
William Smith,11,66.67,Same Grade
Olivia Brown,9,93.33,Different Grade
Oliver Williams,12,86.67,Different Grade
Oliver Johnson,10,86.67,Different Grade
James Brown,9,86.67,Different Grade
James Johnson,9,80.0,Different Grade
Isabella Johnson,12,80.0,Different Grade
Oliver Jones,10,80.0,Different Grade
Liam Williams,9,80.0,Different Grade
James Smith,10,80.0,Different Grade
William Johnson,10,73.33,Different Grade
