Name,Grade,Gender,Percent,Category
Morgan Moore,11,Male,85.0,Same Grade
Avery Smith,11,Non-Binary,80.0,Same Grade
Riley Moore,11,Non-Binary,75.0,Same Grade
Jordan Miller,11,Female,70.0,Same Grade
Alex Jones,11,Male,70.0,Same Grade
Morgan Williams,11,Non-Binary,70.0,Same Grade
Avery Wilson,11,Male,65.0,Same Grade
Reese Miller,11,Non-Binary,65.0,Same Grade
Reese Williams,11,Non-Binary,65.0,Same Grade
Taylor Moore,11,Female,60.0,Same Grade
Casey Miller,9,Female,85.0,Different Grade
Casey Johnson,12,Non-Binary,80.0,Different Grade
Quinn Williams,10,Male,80.0,Different Grade
Reese Taylor,9,Male,80.0,Different Grade
Avery Wilson,12,Non-Binary,80.0,Different Grade
Casey Miller,9,Female,85.0,Same Gender
Jordan Miller,11,Female,70.0,Same Gender
Casey Brown,10,Female,70.0,Same Gender
Taylor Taylor,10,Female,70.0,Same Gender
Quinn Davis,10,Female,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Riley Taylor,10,Female,50.0,Most Opposite
Jordan Smith,10,Male,50.0,Most Opposite
