Name,Grade,Percent,Gender,Category
Reese Williams,11,Non-Binary,85.0,Same Grade
Riley Moore,11,Non-Binary,75.0,Same Grade
Jordan Miller,11,Female,70.0,Same Grade
Taylor Miller,11,Female,70.0,Same Grade
Avery Wilson,11,Male,65.0,Same Grade
Morgan Moore,11,Male,65.0,Same Grade
Reese Miller,11,Non-Binary,65.0,Same Grade
Alex Jones,11,Male,60.0,Same Grade
Morgan Williams,11,Non-Binary,60.0,Same Grade
Avery Smith,11,Non-Binary,60.0,Same Grade
Taylor Taylor,10,Female,80.0,Different Grade
Casey Williams,9,Non-Binary,80.0,Different Grade
Quinn Davis,10,Female,80.0,Different Grade
Quinn Williams,10,Male,80.0,Different Grade
Riley Brown,10,Female,80.0,Different Grade
Taylor Taylor,10,Female,80.0,Same Gender
Quinn Davis,10,Female,80.0,Same Gender
Riley Brown,10,Female,80.0,Same Gender
Jordan Davis,9,Female,75.0,Same Gender
Casey Miller,9,Female,75.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jamie Davis,12,Male,45.0,Most Opposite
Taylor Taylor,9,Male,50.0,Most Opposite
