Name,Grade,Percent,Gender,Category
Quinn Williams,10,Male,85.0,Same Grade
Casey Johnson,10,Non-Binary,80.0,Same Grade
Taylor Taylor,10,Female,75.0,Same Grade
Riley Brown,10,Female,75.0,Same Grade
Casey Brown,10,Female,65.0,Same Grade
Casey Moore,10,Female,65.0,Same Grade
Quinn Davis,10,Female,65.0,Same Grade
Morgan Miller,10,Female,65.0,Same Grade
Jamie Miller,10,Male,65.0,Same Grade
Quinn Brown,10,Female,60.0,Same Grade
Taylor Miller,11,Female,85.0,Different Grade
Morgan Moore,11,Male,80.0,Different Grade
Riley Moore,11,Non-Binary,80.0,Different Grade
Casey Miller,9,Female,80.0,Different Grade
Jordan Miller,11,Female,75.0,Different Grade
Riley Moore,11,Non-Binary,80.0,Same Gender
Casey Johnson,10,Non-Binary,80.0,Same Gender
Casey Williams,9,Non-Binary,75.0,Same Gender
Casey Johnson,12,Non-Binary,75.0,Same Gender
Morgan Williams,11,Non-Binary,75.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jordan Smith,10,Male,45.0,Most Opposite
Avery Jones,9,Female,45.0,Most Opposite
