Name,Grade,Percent,Category
Emma Smith,11,93.33,Same Grade
Liam Johnson,11,86.67,Same Grade
Liam Brown,11,80.0,Same Grade
Isabella Smith,11,80.0,Same Grade
William Brown,11,80.0,Same Grade
Sophia Brown,11,80.0,Same Grade
Noah Smith,11,80.0,Same Grade
Oliver Brown,11,80.0,Same Grade
Emma Jones,11,80.0,Same Grade
Sophia Williams,11,80.0,Same Grade
Liam Williams,11,80.0,Same Grade
Sophia Johnson,11,73.33,Same Grade
Sophia Jones,11,73.33,Same Grade
Ava Johnson,11,73.33,Same Grade
Isabella Jones,11,73.33,Same Grade
Olivia Williams,9,86.67,Different Grade
Sophia Jones,9,86.67,Different Grade
William Brown,12,86.67,Different Grade
Ava Brown,9,86.67,Different Grade
Ava Williams,9,80.0,Different Grade
Olivia Smith,10,80.0,Different Grade
Isabella Brown,12,80.0,Different Grade
Sophia Johnson,12,80.0,Different Grade
Oliver Smith,12,80.0,Different Grade
Ava Brown,12,80.0,Different Grade
