Name,Grade,Percent,Category
Noah Brown,12,86.67,Same Grade
Emma Smith,12,73.33,Same Grade
William Brown,12,73.33,Same Grade
Oliver Brown,12,73.33,Same Grade
Ava Jones,12,73.33,Same Grade
Liam Jones,12,73.33,Same Grade
James Jones,12,73.33,Same Grade
Ava Smith,12,66.67,Same Grade
Sophia Johnson,12,66.67,Same Grade
William Jones,12,66.67,Same Grade
Liam Williams,12,66.67,Same Grade
Ava Jones,12,66.67,Same Grade
Olivia Williams,12,66.67,Same Grade
Sophia Williams,12,66.67,Same Grade
Sophia Jones,12,66.67,Same Grade
Sophia Smith,11,93.33,Different Grade
Sophia Johnson,9,93.33,Different Grade
Olivia Brown,10,93.33,Different Grade
Liam Brown,9,86.67,Different Grade
James Smith,9,86.67,Different Grade
William Brown,11,86.67,Different Grade
Isabella Smith,10,86.67,Different Grade
Sophia Jones,10,86.67,Different Grade
Oliver Jones,11,86.67,Different Grade
Isabella Johnson,11,86.67,Different Grade
