Name,Grade,Percent,Category
Isabella Brown,12,93.33,Same Grade
Olivia Jones,12,86.67,Same Grade
Sophia Johnson,12,86.67,Same Grade
Sophia Jones,12,86.67,Same Grade
Ava Brown,12,80.0,Same Grade
Isabella Smith,12,80.0,Same Grade
Isabella Jones,12,80.0,Same Grade
Isabella Johnson,12,80.0,Same Grade
Oliver Brown,12,80.0,Same Grade
Ava Jones,12,73.33,Same Grade
Ava Brown,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
Sophia Smith,12,73.33,Same Grade
Ava Johnson,12,73.33,Same Grade
Noah Williams,9,93.33,Different Grade
James Williams,11,93.33,Different Grade
Olivia Jones,10,93.33,Different Grade
Isabella Smith,9,93.33,Different Grade
Ava Jones,9,93.33,Different Grade
Isabella Williams,9,93.33,Different Grade
Olivia Smith,10,86.67,Different Grade
William Williams,10,86.67,Different Grade
Sophia Brown,11,86.67,Different Grade
Sophia Jones,9,80.0,Different Grade
