Name,Grade,Percent,Category
Emma Jones,10,93.33,Same Grade
Oliver Smith,10,86.67,Same Grade
Sophia Williams,10,86.67,Same Grade
Sophia Johnson,10,86.67,Same Grade
Isabella Smith,10,86.67,Same Grade
Olivia Jones,10,80.0,Same Grade
Olivia Brown,10,80.0,Same Grade
Olivia Jones,10,80.0,Same Grade
Isabella Brown,10,73.33,Same Grade
Sophia Brown,10,73.33,Same Grade
Oliver Brown,10,73.33,Same Grade
Sophia Jones,10,73.33,Same Grade
Sophia Smith,10,73.33,Same Grade
Liam Brown,10,73.33,Same Grade
Liam Jones,10,66.67,Same Grade
William Williams,11,93.33,Different Grade
Noah Williams,12,93.33,Different Grade
Isabella Brown,11,86.67,Different Grade
Liam Jones,12,86.67,Different Grade
James Johnson,11,86.67,Different Grade
Oliver Jones,11,86.67,Different Grade
Ava Johnson,9,80.0,Different Grade
Ava Smith,12,80.0,Different Grade
Isabella Jones,9,80.0,Different Grade
William Jones,12,80.0,Different Grade
