Name,Grade,Percent,Category
Ava Williams,11,86.67,Same Grade
Sophia Brown,11,86.67,Same Grade
Liam Johnson,11,86.67,Same Grade
Olivia Brown,11,80.0,Same Grade
William Smith,11,80.0,Same Grade
Liam Brown,11,73.33,Same Grade
Noah Johnson,11,73.33,Same Grade
Ava Johnson,11,73.33,Same Grade
William Johnson,11,73.33,Same Grade
Liam Johnson,11,73.33,Same Grade
William Williams,11,73.33,Same Grade
Sophia Jones,11,66.67,Same Grade
Noah Johnson,11,66.67,Same Grade
Isabella Johnson,11,66.67,Same Grade
Oliver Brown,11,66.67,Same Grade
James Brown,10,93.33,Different Grade
Noah Johnson,12,93.33,Different Grade
Isabella Brown,9,93.33,Different Grade
Sophia Williams,12,86.67,Different Grade
Oliver Jones,9,86.67,Different Grade
Liam Jones,9,80.0,Different Grade
James Williams,9,80.0,Different Grade
Isabella Brown,10,80.0,Different Grade
Isabella Brown,10,80.0,Different Grade
Emma Brown,12,80.0,Different Grade
